ID,desc::source,type,desc::subtitle,disturbance,desc::disturbancetype,continent,desc::country,position,desc::full name,topic,accentedness,video_url,desc::title,desc::pubdate,desc::notes,loc::lat,loc::lon,desc::multi-region accent
__PLEWMAP_CALIB__,"{""mode"": ""edges"", ""mercator"": false, ""locX"": ""loc::lon"", ""locY"": ""loc::lat"", ""L"": -180, ""R"": 180, ""T"": 90, ""B"": -90}",,,,,,,,,,,,,,,,,
54,nhk world japan,news,no,no,na,europe,japan,reporter,eri takasu,politics,weak,https://youtu.be/Ea17SgCmEOc?t=225,,,,36.76738832597829,137.46934234351835,no
55,nhk world japan,news,no,yes,noise,asia,philippines,reporter,celerina del mundo-monte,politics,strong,https://youtu.be/E37aARSyFEE?t=26,,,,15.586542251094242,121.82208941416745,no
56,nhk world japan,news,no,no,na,asia,japan,anchor,ryuichi yoshikawa,politics,weak,https://youtu.be/E37aARSyFEE?t=9,,,,36.76738832597829,137.46934234351835,no
57,nhk world japan,news,no,no,na,asia,japan,anchor,ryuichi yoshikawa,culture,weak,https://youtu.be/V36uLiz7K5E,,,,36.76738832597829,137.46934234351835,no
58,nhk world japan,news,no,no,na,asia,japan,anchor,naoko nishiumi,politics,weak,https://youtu.be/C-nhpEsuTG4,,,,36.76738832597829,137.46934234351835,no
59,nhk world japan,news,no,no,na,asia,japan,expert,tomoko akane,politics,strong,https://youtu.be/C-nhpEsuTG4?t=59,,,,36.76738832597829,137.46934234351835,no
60,nhk world japan,news,no,no,na,asia,japan,expert,go kamoshida,politics,medium,https://youtu.be/C-nhpEsuTG4?t=107,,,,36.76738832597829,137.46934234351835,no
61,nhk world japan,news,no,no,na,asia,japan,anchor,maria sato,politics,weak,https://youtu.be/u41Xt__4NG4,,,,36.76738832597829,137.46934234351835,no
62,bbc news africa,documentary,no,yes,music,africa,kenya,reporter,tom odula,culture,strong,https://youtu.be/-wCfTAa-w4Y?t=2919,,,https://www.linkedin.com/in/tom-odula-93101824,0.6899182318376179,37.95309411262371,no
63,bbc news africa,documentary,no,yes,music,africa,kenya,interviewee,abel olang,culture,strong,https://youtu.be/-wCfTAa-w4Y?t=999,,,,0.6899182318376179,37.95309411262371,no
64,bbc news africa,documentary,yes,yes,music,africa,kenya,interviewee,migori,culture,strong,https://youtu.be/-wCfTAa-w4Y?t=1792,,,,0.6899182318376179,37.95309411262371,no
65,bbc news africa,documentary,yes,yes,noise,africa,kenya,expert,joash olang,culture,strong,https://youtu.be/-wCfTAa-w4Y?t=2576,,,,0.6899182318376179,37.95309411262371,no
66,criterion,interview,no,no,na,europe,france,actor,marion cotillard,entertainment,weak,https://youtu.be/sPP5CuNVNU8?t=9,,,,46.6423682169416,2.1940236627886227,no
67,HeyUGuys,interview,no,no,na,europe,france,actor,audrey tautou,entertainment,medium,https://youtu.be/7u_oZvUrlmM?t=111,,,,46.6423682169416,2.1940236627886227,no
68,The Tonight Show Starring Jimmy Fallon,interview,no,no,na,europe,germany,actor,matthias schweighoefer,entertainment,weak,https://youtu.be/SzIdSJBqvUM?t=26,,,,51.08304539800482,10.426171427430804,no
69,vanibat,interview,no,yes,noise,europe,france,actor,alain delon,entertainment,weak,https://youtu.be/ABpVMOt0WEE?t=25,,,,46.6423682169416,2.1940236627886227,no
70,Eva Gaelle Green - Page,interview,no,no,na,europe,france,actor,eva green,entertainment,weak,https://youtu.be/rKUs7xk8szY?t=51,,,,46.6423682169416,2.1940236627886227,no
71,Variety,interview,no,no,na,europe,spain,actor,penelope cruz,entertainment,medium,https://youtu.be/n98up36diq4,,,,40.365008336683836,-3.6516251409956983,no
72,The Late Show with Stephen Colbert,interview,no,no,na,europe,spain,actor,javier bardem,entertainment,medium,https://youtu.be/QLnFrq7DvK8?t=76,,,,40.365008336683836,-3.6516251409956983,no
73,vanity fair,interview,no,no,na,europe,italy,actor,monica bellucci,entertainment,medium,https://youtu.be/_J2sHXgypXc,,,,42.98201127614267,12.763657166123137,no
74,bbc,interview,no,no,na,europe,italy,actor,roberto benigni,entertainment,strong,https://youtu.be/d0ygjC553eE?t=13,,,,42.98201127614267,12.763657166123137,no
75,dw news,news,no,yes,noise,europe,germany,reporter,jan-philipp scholz,politics,medium,https://youtu.be/qNXzK0M9Pxo?t=226,Spanish PM Sanchez under fire over Ceuta crisis | DW News ,2026/9/4,,51.08304539800482,10.426171427430804,no
76,dw news,news,no,no,na,europe,spain,expert,gemma pinyol-jimenez,politics,strong,https://youtu.be/qNXzK0M9Pxo?t=546,Spanish PM Sanchez under fire over Ceuta crisis | DW News ,2026/9/4,,40.365008336683836,-3.6516251409956983,no
77,dw news,news,no,yes,music,asia,india,interviewee,matthew,politics,strong,https://youtu.be/Uv5luvQ3Mtg?t=107,"Debt, exploitation, burnout: The price many Indian students pay for a life in Germany | Reporter",2026/3/21,,23.586300567746722,81.17300408530181,no
78,dw news,news,no,yes,music,asia,india,interviewee,chirag,politics,strong,https://youtu.be/Uv5luvQ3Mtg?t=80,"Debt, exploitation, burnout: The price many Indian students pay for a life in Germany | Reporter",2026/3/21,,23.586300567746722,81.17300408530181,no
79,dw news,news,no,no,na,asia,india,expert,aju john,politics,strong,https://youtu.be/Uv5luvQ3Mtg?t=187,"Debt, exploitation, burnout: The price many Indian students pay for a life in Germany | Reporter",2026/3/21,https://www.bim.hu-berlin.de/de/pers/assoz/john,23.586300567746722,81.17300408530181,no
80,dw news,news,no,no,na,europe,italy,expert,cecilia emma sottilotta,politics,medium,https://youtu.be/INt-owXh1Fc?t=110,Giorgia Meloni to set new record as longest serving Italian PM | DW News,2026/9/2,,42.98201127614267,12.763657166123137,no
81,dw news,news,no,yes,music,euroasia,turkey,interviewee,doruk berberoglu,politics,medium,https://youtu.be/0QBh_fCvhaE?t=244,Why international students still choose Germany | DW News,2026/8/18,,38.93207363123396,35.56886764076691,no
82,dw news,news,no,yes,music,asia,india,interviewee,shruti,politics,medium,https://youtu.be/0QBh_fCvhaE?t=353,Why international students still choose Germany | DW News,2026/8/18,,23.586300567746722,81.17300408530181,no
83,dw news,news,no,yes,music,asia,india,interviewee,shravan,politics,medium,https://youtu.be/0QBh_fCvhaE?t=1053,Why international students still choose Germany | DW News,2026/8/18,,23.586300567746722,81.17300408530181,no
84,dw news,news,no,yes,music,europe,albania,expert,konstandin xhaho,politics,strong,https://youtu.be/4k1Y2vtJdfo?t=59,Inside Europe's new billionaire playground | DW News ,2026/8/22,https://www.facebook.com/Fortebrachi/,41.14165894891656,20.061082767269493,no
85,dw news,news,no,yes,music,europe,albania,expert,olsi nika,politics,strong,https://youtu.be/4k1Y2vtJdfo?t=102,Inside Europe's new billionaire playground | DW News ,2026/8/22,https://ecoalbania.org/olsi-nika/?lang=en,41.14165894891656,20.061082767269493,no
86,dw news,news,no,yes,music,europe,albania,expert,edi rama,politics,medium,https://youtu.be/4k1Y2vtJdfo?t=170,Inside Europe's new billionaire playground | DW News ,2026/8/22,,41.14165894891656,20.061082767269493,no
87,dw news,news,no,yes,music,europe,albania,expert,sokol kondi,politics,strong,https://youtu.be/4k1Y2vtJdfo?t=200,Inside Europe's new billionaire playground | DW News ,2026/8/22,,41.14165894891656,20.061082767269493,no
88,dw news,news,no,yes,music,europe,albania,expert,aleksander trajce,politics,medium,https://youtu.be/4k1Y2vtJdfo?t=304,Inside Europe's new billionaire playground | DW News ,2026/8/22,https://ppnea.org/aleksander-trajce/?lang=en,41.14165894891656,20.061082767269493,no
